id,cloud provider,Total Ram,Total CPU,Total Disk Space (GB),Cpu Utilization,Network Latency (milliseconds),Cost Per Year ($),Average IOPS,classification
3043,GCP,64,16,32,65.19,140,3333.6,1488,optimal
3044,AWS,1,1,8,47.35,127,161.8,755,underutilized
3045,On-prem,32,16,16,68.83,300,1628.2,1030,overutilized
3046,AWS,4,2,8,64.59,71,324.4,752,optimal
3047,AWS,4,1,8,40.25,69,283.4,790,underutilized
3048,AWS,16,4,16,45.6,88,896.2,1013,underutilized
3049,AWS,2,1,8,61.66,98,203.4,957,optimal
3050,AWS,8,2,8,89.87,116,488.4,760,overutilized
3051,GCP,16,4,16,88.59,87,892.8,1028,overutilized
3052,AWS,2,1,8,84.32,148,203,852,overutilized
3053,GCP,64,16,32,78.52,90,3320.6,1449,optimal
3054,GCP,32,16,16,92.48,115,2038.6,1157,overutilized
3055,AWS,1,1,8,85.48,86,161.8,904,overutilized
3056,On-prem,8,2,8,93.5,120,388,1021,overutilized
3057,AWS,2,1,8,93.93,119,203,798,overutilized
3058,GCP,32,16,16,56.39,95,2021.4,1197,underutilized
3059,GCP,2,1,8,60.19,87,202,726,optimal
3060,AWS,64,16,32,47.53,86,3325.8,1265,underutilized
3061,AWS,64,16,32,78.78,66,3333.2,1595,optimal
3062,On-prem,16,4,16,93.1,62,713,871,overutilized
3063,AWS,4,2,8,45.53,126,326.4,738,underutilized
3064,AWS,2,1,8,63.04,83,203.2,794,optimal
3065,AWS,8,2,8,76.63,137,485,843,optimal
3066,On-prem,2,1,8,76.78,87,161.8,660,optimal
3067,AWS,64,16,32,55.89,113,3319.4,1424,underutilized
3068,AWS,8,2,8,90.13,95,487,850,overutilized
3069,On-prem,8,1,8,59.67,181,359,917,underutilized
3070,AWS,4,2,8,76.29,126,323.4,707,optimal
3071,AWS,8,2,8,48.4,65,488.8,703,underutilized
3072,On-prem,8,1,8,55.29,187,356.4,733,underutilized
3073,GCP,64,16,32,84.74,44,3340.4,1217,overutilized
3074,AWS,1,1,8,87.4,126,162.6,917,overutilized
3075,GCP,64,16,32,45.56,131,3341.4,1773,overutilized
3076,GCP,32,16,16,42.29,100,2039.8,920,underutilized
3077,AWS,1,1,8,83.94,112,163,835,overutilized
3078,GCP,16,8,16,53.32,91,1056.8,1107,underutilized
3079,GCP,1,1,8,86.9,90,161.8,799,overutilized
3080,GCP,2,1,8,93.77,145,202.6,787,overutilized
3081,GCP,1,1,8,43.02,114,162.8,953,underutilized
3082,On-prem,16,4,16,49.89,278,712.4,925,underutilized
3083,AWS,16,8,16,40.05,90,1055.2,854,underutilized
3084,GCP,2,1,8,70.02,78,203.6,664,optimal
3085,AWS,2,1,8,40.3,41,202,722,underutilized
3086,AWS,16,8,16,79.03,141,1055,830,overutilized
3087,AWS,16,4,16,51.03,46,895,873,underutilized
3088,GCP,16,8,16,84.86,63,1051.6,1137,overutilized
3089,On-prem,2,1,8,61.62,71,162.2,868,optimal
3090,AWS,2,1,8,62.53,69,202.2,780,optimal
3091,AWS,4,1,8,44.09,56,285.4,788,underutilized
3092,GCP,1,1,8,68.17,124,163,901,optimal
3093,AWS,16,8,16,51.31,96,1058,968,underutilized
3094,AWS,64,16,32,93.4,94,3345.4,1557,overutilized
3095,AWS,64,16,32,48.24,68,3317.6,1228,underutilized
3096,GCP,16,8,16,43.24,61,1060.8,825,underutilized
3097,GCP,1,1,8,95.37,105,162.6,910,overutilized
3098,AWS,2,1,8,69.73,50,203.6,890,optimal
3099,GCP,64,16,32,83.82,72,3327.4,1448,overutilized
3100,GCP,4,2,8,46.35,81,324.4,763,underutilized
3101,On-prem,2,1,8,72.36,102,162.8,932,optimal
3102,GCP,1,1,8,67.98,79,163,902,optimal
3103,On-prem,1,1,8,68.26,212,129.6,727,optimal
3104,AWS,64,16,32,45.14,67,3334.8,1352,underutilized
3105,GCP,1,1,8,94.16,123,163,657,overutilized
3106,AWS,2,1,8,44.36,132,203.4,804,underutilized
3107,AWS,32,16,16,71.29,101,2023,1226,optimal
3108,On-prem,8,1,8,59.1,135,356.6,1022,underutilized
3109,AWS,64,16,32,66.09,96,3317.2,1738,overutilized
3110,AWS,16,4,16,94.05,53,895.2,996,overutilized
3111,GCP,8,1,8,43.69,135,447,974,underutilized
3112,AWS,16,8,16,89.8,65,1054.8,977,overutilized
3113,AWS,8,1,8,47.61,132,444.8,1050,underutilized
3114,On-prem,16,4,16,44.39,72,717.4,981,underutilized
3115,AWS,64,16,32,92.66,111,3344.6,1482,overutilized
3116,AWS,16,8,16,85.76,58,1059.6,1020,overutilized
3117,GCP,32,16,16,88.54,138,2023.2,1206,overutilized
3118,AWS,1,1,8,66.53,83,161.8,676,optimal
3119,GCP,1,1,8,83.6,87,161.8,887,overutilized
3120,GCP,1,1,8,87.09,147,162.4,799,overutilized
3121,AWS,8,2,8,78.6,88,488.8,1053,optimal
3122,On-prem,1,1,8,56.63,208,130.6,716,underutilized
3123,AWS,2,1,8,41.29,89,203.6,741,underutilized
3124,AWS,16,4,16,77.94,132,891.8,792,optimal
3125,AWS,64,16,32,62.01,123,3344.2,1476,optimal
3126,GCP,4,2,8,86.62,93,324.4,738,overutilized
3127,AWS,16,4,16,45.21,87,892.4,916,underutilized
3128,AWS,16,8,16,66.32,100,1059,929,optimal
3129,AWS,64,16,32,53.05,122,3343.4,1534,underutilized
3130,On-prem,4,2,8,51.41,251,260.4,910,underutilized
3131,GCP,16,8,16,90.9,113,1056.6,1102,overutilized
3132,GCP,2,1,8,70.76,64,203.6,920,optimal
3133,On-prem,2,1,8,45.21,80,162.2,761,underutilized
3134,On-prem,16,8,16,57.93,184,843.4,956,underutilized
3135,GCP,64,16,32,54.77,53,3339,1231,underutilized
3136,On-prem,4,2,8,53.09,289,260.4,963,overutilized
3137,On-prem,8,1,8,77.49,71,358.8,805,optimal
3138,On-prem,8,1,8,84.37,63,356.6,828,overutilized
3139,GCP,8,2,8,56.55,74,487.8,1007,underutilized
3140,On-prem,8,2,8,76.88,245,389.6,1019,optimal
3141,GCP,4,2,8,86.09,138,324.8,801,overutilized
3142,On-prem,16,4,16,55.56,208,717.6,959,underutilized
3143,AWS,1,1,8,96.11,71,163,697,overutilized
3144,AWS,16,4,16,50.02,122,891.6,1117,underutilized
3145,AWS,1,1,8,91.91,46,162,695,overutilized
3146,AWS,2,1,8,77.75,144,202.4,660,overutilized
3147,AWS,1,1,8,82.29,146,161.8,953,overutilized
3148,AWS,2,1,8,86.8,93,203.2,656,overutilized
3149,GCP,64,16,32,51.74,128,3328.8,1747,overutilized
3150,On-prem,4,1,8,84.82,106,226.8,993,overutilized
3151,GCP,32,16,16,46,101,2034.6,1206,underutilized
3152,GCP,32,16,16,53.81,127,2025.6,1063,underutilized
3153,AWS,64,16,32,42.81,117,3344.2,1272,underutilized
3154,AWS,2,1,8,97.65,45,202.6,822,overutilized
3155,On-prem,32,16,16,56.82,99,1624.8,939,underutilized
3156,AWS,64,16,32,63.62,131,3334.2,1349,optimal
3157,AWS,8,1,8,45.91,126,447,1017,underutilized
3158,On-prem,32,16,16,59.65,135,1624,1178,underutilized
3159,AWS,16,8,16,75.32,104,1059,837,optimal
3160,AWS,8,2,8,91.72,134,485,746,overutilized
3161,On-prem,32,16,16,92.59,150,1621,1034,overutilized
3162,AWS,4,1,8,95.92,79,284.6,897,overutilized
3163,AWS,1,1,8,43.5,117,161.8,696,underutilized
3164,AWS,1,1,8,73.85,110,163.2,883,optimal
3165,AWS,32,16,16,61.34,127,2032.8,1010,optimal
3166,On-prem,64,16,32,96.09,283,2676.4,1239,overutilized
3167,AWS,8,1,8,61.35,46,446.6,821,optimal
3168,AWS,16,8,16,66.95,73,1058,900,optimal
3169,AWS,8,1,8,81.6,147,446,752,overutilized
3170,AWS,64,16,32,87.44,101,3338.6,1434,overutilized
3171,On-prem,4,1,8,82.37,131,227.4,778,overutilized
3172,On-prem,64,16,32,80.13,257,2654.2,1445,overutilized
3173,AWS,32,16,16,55.57,54,2031,1334,underutilized
3174,On-prem,16,4,16,86.29,131,711.2,827,overutilized
3175,GCP,64,16,32,57.05,60,3334,1749,overutilized
3176,AWS,16,8,16,66.8,125,1058.2,896,optimal
3177,AWS,2,1,8,40.15,50,203.6,677,underutilized
3178,AWS,8,2,8,79.14,82,489.4,765,optimal
3179,AWS,2,1,8,82.49,68,202.8,745,overutilized
3180,On-prem,8,1,8,69.95,104,357.2,936,optimal
3181,AWS,1,1,8,60.73,47,162.8,818,optimal
3182,GCP,8,2,8,54.59,92,485,917,underutilized
3183,AWS,2,1,8,72.86,84,202.4,660,optimal
3184,AWS,4,1,8,93.54,134,283,814,overutilized
3185,GCP,1,1,8,76.08,58,162,848,optimal
3186,AWS,8,1,8,76.2,140,445,759,optimal
3187,GCP,64,16,32,47.34,43,3318.6,1479,underutilized
3188,On-prem,2,1,8,55.68,270,162.6,968,underutilized
3189,AWS,32,16,16,60.97,108,2022.4,1092,optimal
3190,AWS,16,4,16,94.39,53,889.4,797,overutilized
3191,AWS,64,16,32,83.39,84,3337.8,1302,overutilized
3192,AWS,2,1,8,53.14,74,202.6,763,underutilized
3193,On-prem,1,1,8,49.34,277,130.4,936,underutilized
3194,AWS,16,8,16,66.43,66,1056.4,947,optimal
3195,AWS,64,16,32,62.19,134,3329,1316,optimal
3196,On-prem,16,4,16,66.03,300,715.6,930,overutilized
3197,AWS,64,16,32,89.7,52,3325.8,1224,overutilized
3198,On-prem,2,1,8,42.2,271,162.4,694,underutilized
3199,AWS,8,2,8,91.28,62,487.6,1032,overutilized
3200,AWS,8,1,8,43.62,68,446,746,underutilized
3201,AWS,8,2,8,58.47,53,485,724,underutilized
3202,AWS,64,16,32,71.66,111,3323,1519,optimal
3203,On-prem,16,4,16,79.51,94,717.2,842,optimal
3204,On-prem,32,16,16,93.75,187,1622.6,1049,overutilized
3205,On-prem,2,1,8,82.74,195,161.8,761,overutilized
3206,GCP,2,1,8,85.57,149,203.8,866,overutilized
3207,On-prem,32,16,16,82.1,256,1617.4,1245,overutilized
3208,GCP,2,1,8,76.22,56,203.4,825,optimal
3209,GCP,1,1,8,95.13,90,162.8,705,overutilized
3210,GCP,4,2,8,96.94,140,326,985,overutilized
3211,AWS,1,1,8,65.51,76,162.2,843,optimal
3212,AWS,2,1,8,86.34,74,203.8,678,overutilized
3213,On-prem,4,2,8,66.86,133,259.4,818,optimal
3214,On-prem,1,1,8,95.2,122,130.2,843,overutilized
3215,AWS,8,1,8,72.34,67,448.2,844,optimal
3216,AWS,1,1,8,48.29,54,162.6,848,underutilized
3217,AWS,2,1,8,44.48,76,203.2,969,underutilized
3218,AWS,32,16,16,81.63,42,2020,1352,overutilized
3219,AWS,4,1,8,92.44,102,284,847,overutilized
3220,GCP,32,16,16,85.83,87,2024.2,1358,overutilized
3221,AWS,2,1,8,41.17,45,203.2,875,underutilized
3222,AWS,2,1,8,82.75,107,204,805,overutilized
3223,AWS,8,2,8,58.23,74,485.6,1010,underutilized
3224,GCP,4,2,8,81.14,43,326.4,869,overutilized
3225,AWS,8,2,8,54.93,121,487.4,859,underutilized
3226,AWS,4,1,8,65.04,92,285,702,optimal
3227,On-prem,1,1,8,58.76,226,129.4,926,underutilized
3228,GCP,1,1,8,77.28,76,162.8,841,optimal
3229,AWS,1,1,8,47.51,137,161.6,687,underutilized
3230,GCP,64,16,32,78.33,85,3340.4,1464,optimal
3231,GCP,32,16,16,40.07,78,2027.4,1020,underutilized
3232,On-prem,8,1,8,81.78,90,356,874,overutilized
3233,On-prem,64,16,32,87.11,279,2657.6,1734,overutilized
3234,AWS,1,1,8,58.02,46,162.2,707,underutilized
3235,GCP,64,16,32,47.78,79,3322,1405,underutilized
3236,GCP,16,4,16,46.08,87,892,956,underutilized
3237,On-prem,64,16,32,45.33,209,2675,1409,underutilized
3238,AWS,2,1,8,94.99,106,203.8,664,overutilized
3239,AWS,16,4,16,64.74,145,892.4,852,overutilized
3240,AWS,8,2,8,80.76,147,488.6,999,overutilized
3241,AWS,16,8,16,54.11,47,1050.6,994,underutilized
3242,AWS,1,1,8,68.06,137,162.4,784,optimal
3243,GCP,8,1,8,79.54,76,448.4,822,optimal
3244,GCP,8,1,8,62.26,144,448,746,overutilized
3245,AWS,2,1,8,70.86,78,204,671,optimal
3246,AWS,16,8,16,80.27,77,1050.4,780,overutilized
3247,GCP,2,1,8,78.67,133,203.8,917,optimal
3248,On-prem,2,1,8,71.09,171,162.8,772,optimal
3249,AWS,8,1,8,63.79,48,448.6,950,optimal
3250,GCP,1,1,8,88.25,72,162,737,overutilized
3251,GCP,4,1,8,67.71,107,284.6,939,optimal
3252,GCP,4,1,8,49.5,89,283.8,799,underutilized
3253,On-prem,64,16,32,62.04,134,2650.4,1284,optimal
3254,GCP,2,1,8,46.06,111,202.6,789,underutilized
3255,GCP,1,1,8,79.58,148,162,640,overutilized
3256,GCP,4,2,8,81.25,143,323.6,750,overutilized
3257,AWS,16,4,16,78.76,147,895,899,overutilized
3258,GCP,8,1,8,55.88,79,445.8,981,underutilized
3259,AWS,1,1,8,86.66,115,161.6,898,overutilized
3260,GCP,8,2,8,53.2,129,486.8,749,underutilized
3261,GCP,2,1,8,94.32,78,204,899,overutilized
3262,AWS,32,16,16,86.83,149,2032,1085,overutilized
3263,AWS,2,1,8,62.2,86,203,697,optimal
3264,On-prem,4,2,8,65.56,100,260,856,optimal
3265,On-prem,8,2,8,78.33,60,391.6,784,optimal
3266,GCP,2,1,8,54.3,48,202.8,971,underutilized
3267,AWS,4,1,8,94.29,136,283.2,714,overutilized
3268,AWS,8,1,8,53.74,54,446,988,underutilized
3269,AWS,1,1,8,50.71,149,163,734,overutilized
3270,GCP,16,8,16,76.32,42,1056.6,1071,optimal
3271,AWS,4,1,8,71.02,96,283.8,821,optimal
3272,GCP,16,4,16,48.26,117,889.4,1014,underutilized
3273,GCP,2,1,8,89.57,145,203.2,855,overutilized
3274,On-prem,16,8,16,80.33,87,840.8,816,overutilized
3275,AWS,8,1,8,93.15,79,447.6,839,overutilized
3276,AWS,32,16,16,42.48,125,2022.2,1225,underutilized
3277,AWS,64,16,32,43.17,149,3320,1243,overutilized
3278,On-prem,2,1,8,71.98,90,162.2,932,optimal
3279,On-prem,2,1,8,83.57,237,162.6,775,overutilized
3280,On-prem,4,2,8,61.49,254,259.6,852,optimal
3281,GCP,8,1,8,61.67,56,448.6,913,optimal
3282,AWS,32,16,16,91.94,63,2039.4,1118,overutilized
3283,On-prem,8,1,8,46.47,128,356.6,887,underutilized
3284,GCP,4,1,8,92.64,93,283.2,965,overutilized
3285,AWS,2,1,8,43.22,99,203.6,687,underutilized
3286,AWS,64,16,32,97.32,121,3325.6,1353,overutilized
3287,AWS,1,1,8,81.54,135,161.6,750,overutilized
3288,AWS,64,16,32,64.11,91,3334.4,1443,optimal
3289,GCP,64,16,32,61.5,66,3329.6,1561,optimal
3290,On-prem,16,8,16,46.07,202,842.2,1058,underutilized
3291,GCP,32,16,16,62.94,78,2035.2,1330,optimal
3292,GCP,8,1,8,92.18,55,446.8,907,overutilized
3293,On-prem,16,4,16,53.28,108,711.8,988,underutilized
3294,AWS,4,2,8,42.84,100,324.4,919,underutilized
3295,On-prem,4,2,8,77.36,88,260.6,981,optimal
3296,AWS,1,1,8,60.32,88,162,791,optimal
3297,On-prem,1,1,8,90.58,227,129.8,886,overutilized
3298,GCP,32,16,16,51.14,49,2021.4,1075,underutilized
3299,AWS,64,16,32,85.23,125,3318.2,1229,overutilized
3300,On-prem,4,1,8,78.44,270,227.8,900,optimal
3301,AWS,2,1,8,45.46,41,203,918,underutilized
3302,GCP,4,2,8,58.36,92,323.6,951,underutilized
3303,AWS,2,1,8,77.73,47,202.8,677,optimal
3304,GCP,64,16,32,80.95,90,3314.8,1608,overutilized
3305,AWS,1,1,8,77.04,60,162.6,959,optimal
3306,GCP,4,2,8,68.09,123,323.8,688,optimal
3307,AWS,16,8,16,42.46,110,1058,902,underutilized
3308,AWS,32,16,16,70.45,146,2028.2,1176,overutilized
3309,GCP,16,4,16,95.51,80,895.8,1002,overutilized
3310,GCP,32,16,16,54.35,52,2032,1227,underutilized
3311,AWS,4,2,8,82.42,145,324.6,833,overutilized
3312,AWS,8,1,8,78.87,117,445.8,851,optimal
3313,GCP,32,16,16,54.17,69,2039.6,1131,underutilized
3314,On-prem,64,16,32,54.78,285,2655.8,1562,overutilized
3315,AWS,8,1,8,60.7,99,445.2,819,optimal
3316,On-prem,4,1,8,65.55,146,226.8,751,optimal
3317,GCP,4,2,8,81.96,79,325.8,915,overutilized
3318,GCP,64,16,32,50.72,66,3316,1559,underutilized
3319,On-prem,4,1,8,80.25,237,227,890,overutilized
3320,On-prem,4,1,8,65.4,174,228.4,921,optimal
3321,On-prem,32,16,16,57.37,252,1620.8,1317,underutilized
3322,AWS,16,4,16,60.09,43,891,857,optimal
3323,AWS,8,2,8,56.26,102,486.4,705,underutilized
3324,On-prem,64,16,32,61.59,96,2650.8,1303,optimal
3325,AWS,4,2,8,81.4,94,325.4,986,overutilized
3326,GCP,8,1,8,76.92,78,445,950,optimal
3327,AWS,4,2,8,94.03,70,324.4,737,overutilized
3328,On-prem,1,1,8,41.8,130,129.2,725,underutilized
3329,GCP,1,1,8,94.54,91,162.2,884,overutilized
3330,AWS,8,2,8,55.84,131,486.8,1017,underutilized
3331,AWS,1,1,8,68.93,121,162.6,766,optimal
3332,On-prem,4,2,8,51.32,131,258.6,756,underutilized
3333,On-prem,4,2,8,88.6,97,259.6,770,overutilized
3334,GCP,4,2,8,78.45,143,324.4,990,overutilized
3335,AWS,4,1,8,86.48,77,283.4,960,overutilized
3336,AWS,64,16,32,92.54,45,3334,1243,overutilized
3337,GCP,64,16,32,51.17,99,3332.4,1391,underutilized
3338,AWS,8,2,8,84.08,91,488,1015,overutilized
3339,GCP,32,16,16,68.43,107,2027.6,1368,optimal
3340,AWS,16,4,16,65.36,137,893.2,786,optimal
3341,On-prem,1,1,8,83.81,114,129.8,732,overutilized
3342,On-prem,1,1,8,91.35,54,130.4,890,overutilized
3343,GCP,8,2,8,56.02,116,488.4,876,underutilized
3344,GCP,8,2,8,78.22,43,488.6,1024,optimal
3345,GCP,4,1,8,85.47,150,283.8,725,overutilized
3346,GCP,16,8,16,58.99,91,1054.6,878,underutilized
3347,AWS,16,8,16,52.48,44,1058.6,1053,underutilized
3348,AWS,4,2,8,68.45,82,324.2,793,optimal
3349,On-prem,2,1,8,56.46,281,163.2,855,overutilized
3350,On-prem,2,1,8,96.76,93,163,779,overutilized
3351,AWS,32,16,16,42.29,74,2036.2,1024,underutilized
3352,AWS,16,8,16,95.36,149,1054.8,915,overutilized
3353,GCP,32,16,16,92.37,51,2039.4,1056,overutilized
3354,GCP,16,4,16,46.97,47,896.2,990,underutilized
3355,On-prem,64,16,32,84.54,146,2660,1261,overutilized
3356,AWS,2,1,8,97.63,53,202.2,649,overutilized
3357,On-prem,4,1,8,68.95,185,226.6,980,optimal
3358,AWS,2,1,8,97.62,119,202.4,677,overutilized
3359,GCP,1,1,8,85.58,142,162.2,697,overutilized
3360,AWS,8,2,8,72.75,111,488.8,989,optimal
3361,AWS,2,1,8,55.77,46,203.2,823,underutilized
3362,AWS,32,16,16,71.6,54,2026.2,1029,optimal
3363,GCP,64,16,32,80.31,142,3342.6,1761,overutilized
3364,AWS,2,1,8,52.69,122,202.8,956,underutilized
3365,AWS,1,1,8,42.5,105,163,948,underutilized
3366,GCP,1,1,8,52.41,44,163,892,underutilized
3367,AWS,64,16,32,86.85,133,3335.8,1344,overutilized
3368,AWS,4,1,8,80.76,111,285,815,overutilized
3369,AWS,32,16,16,64.39,81,2036.4,1323,optimal
3370,AWS,2,1,8,82.23,119,203.8,945,overutilized
3371,AWS,64,16,32,54.89,148,3334,1312,overutilized
3372,On-prem,4,2,8,59.9,297,260.8,839,overutilized
3373,AWS,4,2,8,56.49,60,324.8,972,underutilized
3374,AWS,8,1,8,95.34,133,446,898,overutilized
3375,On-prem,16,4,16,42.21,95,717,1119,underutilized
3376,AWS,2,1,8,51.69,107,202.8,915,underutilized
3377,On-prem,64,16,32,64.22,93,2662.8,1603,optimal
3378,AWS,16,8,16,76.42,40,1057.8,942,optimal
3379,AWS,32,16,16,95.53,146,2040,917,overutilized
3380,AWS,1,1,8,46.37,138,162.6,883,underutilized
3381,AWS,4,2,8,72.55,142,326.4,754,overutilized
3382,GCP,4,1,8,93.32,43,283.2,745,overutilized
3383,On-prem,1,1,8,79.26,100,129.6,771,optimal
3384,GCP,4,1,8,57.24,103,283.2,730,underutilized
3385,AWS,8,1,8,88.19,141,445,874,overutilized
3386,AWS,2,1,8,76.44,80,202.8,680,optimal
3387,GCP,8,2,8,93.55,77,487.2,889,overutilized
3388,AWS,8,1,8,59.57,126,446.4,786,underutilized
3389,GCP,16,4,16,96.66,43,897.4,955,overutilized
3390,On-prem,32,16,16,57.54,280,1622,989,underutilized
3391,GCP,2,1,8,46.04,91,202,659,underutilized
3392,GCP,64,16,32,80.83,53,3330.6,1513,overutilized
3393,GCP,1,1,8,90.26,144,163.2,737,overutilized
3394,On-prem,8,2,8,65.67,143,388.8,847,optimal
3395,On-prem,16,4,16,79.94,211,716.8,1044,optimal
3396,AWS,4,1,8,83.46,114,283.8,853,overutilized
3397,AWS,4,2,8,63.48,143,325,909,overutilized
3398,GCP,16,4,16,55.21,63,893.8,1131,underutilized
3399,AWS,2,1,8,84.87,81,203,735,overutilized
3400,GCP,16,4,16,67.2,131,894.6,805,optimal
3401,AWS,2,1,8,63.91,103,203.8,794,optimal
3402,AWS,1,1,8,41.85,137,163.2,954,underutilized
3403,AWS,32,16,16,73.25,81,2025.2,952,optimal
3404,GCP,2,1,8,52.12,43,202.2,775,underutilized
3405,On-prem,4,1,8,82.4,236,227.8,686,overutilized
3406,On-prem,8,2,8,82.5,162,390,896,overutilized
3407,AWS,8,1,8,53.92,51,444.8,1007,underutilized
3408,GCP,8,2,8,51.62,95,488.8,919,underutilized
3409,AWS,1,1,8,74.87,118,163.2,826,optimal
3410,AWS,8,1,8,84.52,70,448.6,938,overutilized
3411,On-prem,32,16,16,43.03,64,1631.8,1286,underutilized
3412,AWS,4,1,8,54.03,115,285.6,888,underutilized
3413,AWS,64,16,32,84.49,57,3337.8,1214,overutilized
3414,AWS,64,16,32,57.28,121,3318.6,1457,underutilized
3415,On-prem,2,1,8,60.64,231,162.8,861,optimal
3416,GCP,64,16,32,96.93,66,3324.8,1588,overutilized
3417,AWS,32,16,16,76.67,140,2030.6,1184,optimal
3418,AWS,1,1,8,63.36,129,163,872,optimal
3419,GCP,4,2,8,67.24,42,323.6,853,optimal
3420,GCP,32,16,16,43.72,107,2035.4,1232,underutilized
3421,GCP,64,16,32,58.67,62,3332.2,1726,overutilized
3422,On-prem,32,16,16,74.87,162,1628.8,1080,optimal
3423,AWS,1,1,8,93.57,93,162.4,839,overutilized
3424,GCP,2,1,8,53.32,139,202.4,903,underutilized
3425,On-prem,2,1,8,62.82,266,163.2,941,optimal
3426,On-prem,2,1,8,61.39,212,162.8,757,optimal
3427,GCP,8,2,8,62.89,45,487,893,optimal
3428,GCP,4,1,8,52.04,108,285.4,775,underutilized
3429,AWS,4,1,8,73.3,87,284.6,998,optimal
3430,GCP,64,16,32,81.7,136,3328.8,1689,overutilized
3431,AWS,2,1,8,46.54,144,203.8,867,overutilized
3432,AWS,8,2,8,58.13,123,487.8,990,underutilized
3433,On-prem,64,16,32,44.36,242,2653.4,1581,underutilized
3434,GCP,32,16,16,54.29,104,2033.4,1333,underutilized
3435,AWS,4,2,8,69.11,91,323.8,900,optimal
3436,GCP,8,2,8,40.31,75,488.8,988,underutilized
3437,GCP,8,1,8,62.55,56,447.4,886,optimal
3438,AWS,32,16,16,58,120,2030.2,917,underutilized
3439,AWS,8,2,8,65.67,46,489.6,909,optimal
3440,AWS,64,16,32,49.63,118,3316.2,1597,underutilized
3441,GCP,2,1,8,72.57,50,203.2,915,optimal
3442,GCP,16,8,16,71.49,88,1053.6,1154,optimal
3443,GCP,64,16,32,96.78,116,3330,1483,overutilized
3444,On-prem,8,2,8,44.87,247,389,833,underutilized
3445,On-prem,64,16,32,73.08,131,2652.2,1209,optimal
3446,AWS,16,8,16,75.12,94,1050.6,1116,optimal
3447,GCP,2,1,8,64.94,103,203,961,optimal
3448,GCP,32,16,16,82.95,72,2023.8,1101,overutilized
3449,GCP,8,2,8,61.16,67,489.4,755,optimal
3450,GCP,2,1,8,62.24,55,202.8,760,optimal
3451,AWS,1,1,8,68.17,144,163.2,813,overutilized
3452,AWS,8,2,8,64.23,119,486.8,970,optimal
3453,GCP,16,4,16,56.82,115,890.4,854,underutilized
3454,On-prem,4,2,8,95.31,101,259.4,956,overutilized
3455,On-prem,64,16,32,58.53,57,2654.2,1249,underutilized
3456,On-prem,64,16,32,96.95,180,2667.2,1587,overutilized
3457,AWS,32,16,16,58.51,80,2029.8,1317,underutilized
3458,AWS,32,16,16,87.8,100,2021,1171,overutilized
3459,AWS,4,1,8,68.78,65,285.2,924,optimal
3460,AWS,8,1,8,55.28,45,447.2,925,underutilized
3461,AWS,32,16,16,47.35,145,2038.2,1099,overutilized
3462,On-prem,2,1,8,83.86,212,162.8,859,overutilized
3463,AWS,8,1,8,81.86,99,447.2,817,overutilized
3464,AWS,32,16,16,67.68,105,2038.6,1353,optimal
3465,GCP,16,4,16,68.09,114,892.4,950,optimal
3466,On-prem,64,16,32,70.91,92,2672.4,1671,optimal
3467,On-prem,64,16,32,50.2,223,2658.8,1565,underutilized
3468,On-prem,64,16,32,93.32,164,2653.8,1492,overutilized
3469,On-prem,1,1,8,71.89,259,129.4,890,optimal
3470,AWS,32,16,16,79.74,90,2020.4,1120,optimal
3471,On-prem,2,1,8,40.56,103,162.2,910,underutilized
3472,On-prem,32,16,16,80.85,151,1625,1090,overutilized
3473,GCP,8,1,8,90.89,124,448.6,943,overutilized
3474,GCP,1,1,8,92.18,93,163,880,overutilized
3475,On-prem,8,1,8,77.15,108,359,839,optimal
3476,GCP,64,16,32,84.18,44,3326.4,1626,overutilized
3477,AWS,32,16,16,62.31,138,2024.8,1264,optimal
3478,On-prem,8,2,8,40.08,151,388.8,884,underutilized
3479,GCP,2,1,8,79.06,69,203,652,optimal
3480,AWS,2,1,8,93.97,55,203.4,953,overutilized
3481,AWS,64,16,32,49.96,67,3337.6,1534,underutilized
3482,GCP,16,8,16,63.15,64,1053.6,1078,optimal
3483,AWS,64,16,32,89.2,48,3316,1788,overutilized
3484,AWS,8,2,8,53.95,150,485.2,1030,overutilized
3485,GCP,32,16,16,46.82,125,2032.8,1130,underutilized
3486,AWS,16,4,16,54.87,96,896.8,1141,underutilized
3487,AWS,2,1,8,66.09,88,202.6,764,optimal
3488,On-prem,4,1,8,93.65,110,227.6,876,overutilized
3489,On-prem,8,1,8,41.02,192,356,1033,underutilized
3490,AWS,8,1,8,49.78,83,447,856,underutilized
3491,AWS,8,1,8,68.88,102,448.8,892,optimal
3492,AWS,2,1,8,82.72,93,203.8,774,overutilized
3493,GCP,8,2,8,56.48,102,485.8,868,underutilized
3494,AWS,2,1,8,82.01,74,202,830,overutilized
3495,GCP,8,1,8,54.83,131,447,895,underutilized
3496,GCP,1,1,8,50.79,96,163,871,underutilized
3497,AWS,2,1,8,94.74,86,203.6,811,overutilized
3498,On-prem,32,16,16,87.84,256,1622.4,1218,overutilized
3499,GCP,16,4,16,79.47,69,896,1016,optimal
3500,AWS,64,16,32,52.76,82,3333.6,1510,underutilized
3501,AWS,8,2,8,62.81,41,487.4,967,optimal
3502,AWS,64,16,32,72.67,107,3319,1588,optimal
3503,GCP,32,16,16,69.15,113,2025.2,1186,optimal
3504,GCP,8,1,8,56.49,143,447,956,overutilized
